actual/predicted,Fist_Close,Left,Move_Down,Move_Up,Rest,Right
Fist_Close,37,0,0,0,3,0
Left,0,32,0,0,2,0
Move_Down,0,0,31,0,3,0
Move_Up,0,0,0,30,4,0
Rest,3,2,2,3,99,2
Right,0,0,0,0,1,33
