system,n_trials,mean_MT_s,mean_ID_bits,mean_TP,std_TP,error_rate,wrong_click_rate,spurious_click_rate,mean_path_efficiency,mean_re_entry,mean_reversals,reg_intercept_s,reg_slope_s_per_bit,reg_r_squared,reg_n,block_id,block_mean_TP
normal_mouse,3,2.0835,2.466679012463819,0.9110999999999999,0.6274601262231728,0.3333333333333333,0.0,0.0,0.9267333333333333,0.6666666666666666,1.0,11.804873999798383,-3.9410778421827533,0.20994644781851524,3,,
old_emg,24,1.0061541666666667,2.0822041666666666,2.998416666666667,1.7053489745291246,0.08333333333333333,0.08333333333333333,0.0,0.8015625000000001,0.125,1.2083333333333333,0.4346291219059627,0.27448079007335763,0.04402824095849256,24,2.0,3.4666
